"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"C1QTNF3",491.52284539267,1.58760145444211,0.469303811350365,3.3828863436544,0.000717283102898475,0.0250676843286415
"SYT1",49.0735980161335,2.27385476824167,0.674840050211967,3.36947216977927,0.000753122959996516,0.0258328948259241
"DGKI",14.4931881110688,1.31404697821048,0.390179243938809,3.36780338427372,0.000757696104348424,0.0258478547866579
"HAND2",141.841176937512,1.4475304733647,0.430549789693377,3.36205128423261,0.000773657534357506,0.0260257421411863
"XDH",1573.71813997967,-1.73499002229322,0.516060071029408,-3.36199237199723,0.000773822612234104,0.0260257421411863
"IRX3",7.02124693746506,1.72745344693065,0.514190741584889,3.35955766454706,0.000780673571717242,0.0261582335759905
"CLEC5A",121.094432041814,-1.58583614206999,0.4730222082775,-3.3525617070809,0.000800673906767629,0.0265744191904148
"ASGR1",7080.76127698331,-1.19685113925521,0.360051349120237,-3.32411235836123,0.000887004513739493,0.0278825171114269
"SELP",67.6836600068909,-1.01165661532294,0.304477781458403,-3.32259585733072,0.000891840230458376,0.0279842842206016
"LYVE1",2254.65402042484,-1.25303772752958,0.378286538651157,-3.31240369270736,0.000924979670216963,0.0287663748593762
"MPEG1",11728.1912099415,-1.12944939667823,0.342414920751548,-3.29848183659538,0.000972091688606398,0.0291771847487998
"FGF14",21.5017851624,1.4701245476461,0.444921462406497,3.30423382970664,0.000952363623943779,0.0291771847487998
"EGLN3",3057.78931390146,-1.03132928705388,0.312290940463002,-3.30246303503021,0.000958397189894015,0.0291771847487998
"ADPRHL1",21.3675344322397,2.59620367439795,0.787159272878335,3.29819359798004,0.000973090171254238,0.0291771847487998
"SLC6A7",43.6926985388285,1.01170403009383,0.307076770882469,3.29462898540461,0.000985517038243302,0.029470388900949
"GXYLT2",24.884273801816,1.44563059122478,0.439589046557482,3.28859557021685,0.00100688593337021,0.0299313511160935
"GRIA3",14.8046039439816,1.32482780351716,0.4032172475895,3.28564269370221,0.00101749990466336,0.0300935909303222
"BPI",645.518663408543,-1.71832357299456,0.523516912719698,-3.28226945728988,0.00102975151587217,0.0303023853637073
"S100G",88353.8320085532,2.0027337232728,0.611122220464093,3.27714106312794,0.00104863965002559,0.030367210368247
"CAV3",58.2360482428833,1.89278374854712,0.577184815500765,3.27933739369935,0.00104051154581619,0.030367210368247
"BCHE",52.2096014477848,2.48998030295607,0.760446272695615,3.27436716091675,0.00105898916456439,0.030370428462381
"MYO1F",1588.726027704,-1.14987328501135,0.351006020496969,-3.27593607478102,0.00105312394781569,0.030370428462381
"HSPA6",49.4919625297851,-1.02946859380787,0.314677292957969,-3.27150581515069,0.0010697638848263,0.030406649122441
"EVA1C",130.266190235219,-1.34734698084356,0.412184932881685,-3.26879241175541,0.00108007510872055,0.0306003803860648
"ENPP6",27.1614455943222,1.09744891014334,0.336477237201187,3.26158440693315,0.00110791442723246,0.0308578253971234
"EVI2A",461.714002821134,-1.24531576061253,0.381617311401055,-3.26325804256764,0.00110139186542023,0.0308578253971234
"NOV",72.028717799668,1.90371284624062,0.583867586498062,3.2605215467753,0.00111207517436525,0.0309068638539067
